Authority,Category,Prefix,Name
"Agriculture","Domain","ag","Agriculture"
"Agriculture","Code Set","ag_codes","Agriculture domain codes"
"Agriculture","Code Set","usda_fsa","United Stated Department of Agriculture (USDA) Farm Service Agency (FSA) codes"
"Biometrics","Domain","biom","Biometrics"
"CBRN","Domain","cbrn","Chemical, Biological, Radiological, and Nuclear"
"CBRN","Code Set","cbrncl","CBRN domain codes"
"Cyber","Domain","cyber","Cyber"
"Cyber","Code Set","stix","Structured Threat Information Expression (STIX) codes"
"Emergency Management","Domain","em","Emergency Management"
"Emergency Management","Adapter","niem-de","EDXL Distribution Element"
"Emergency Management","Adapter","niem-have","EDXL Hospital Availability Exchange"
"Emergency Management","Code Set","edxl_rm","Emergency Data Exchange Language (EDXL) Resource Messaging codes"
"Emergency Management","Code Set","fema","Federal Emergency Management Agency (FEMA) codes"
"Emergency Management","Code Set","have-codes","EDXL Hospital AVailability Exchange (HAVE) codes"
"Human Services","Domain","hs","Human Services"
"Immigration","Domain","im","Immigration"
"Infrastructure Protection","Domain","ip","Infrastructure Protection"
"Intelligence","Domain","intel","Intelligence"
"Intelligence","Code Set","sar","Suspicious Activity Reporting (SAR) codes"
"International Trade","Domain","it","International Trade"
"International Trade","Code Set","itcodes","International Trade domain codes"
"Justice","Domain","j","Justice"
"Justice","Adapter","niem-cap","EDXL Common Alerting Protocol"
"Justice","Code Set","aamva_d20","Data Dictionary for Traffic Record Systems (ANSI D20) codes"
"Justice","Code Set","apco","Association of Public-Safety Communications Officials (APCO) codes"
"Justice","Code Set","atf","Bureau of Alcohol, Tobacco, and Firearms (ATF) codes"
"Justice","Code Set","mmucc","Model Minimum Uniform Crash Criteria (MMUCC) codes"
"Justice","Code Set","nlets","The International Justice and Public Safety Information Sharing Network (NLETS) codes"
"Justice/FBI","Code Set","ncic","FBI National Crime and Information Center (NCIC) codes"
"Justice/FBI","Code Set","ndex","FBI National Data Exchange (N-DEx) Specification codes"
"Justice/FBI","Code Set","ucr","FBI Uniform Crime Reporting (UCR) codes"
"Learning and Development","Domain","lrn-dev","Learning and Development"
"Maritime","Domain","m","Maritime"
"Military Operations","Domain","mo","Military Operations"
"Military Operations","Domain","usmtf","United States Message Text Format"
"Military Operations","Code Set","jc3iedm","DoD Joint Consultation, Command and Control Information Exchange Data Model (JC3IEDM) codes"
"Military Operations","Code Set","jp2-0","DoD Joint Publication 2.0 (JP 2-0) - Joint Intelligence codes"
"Military Operations","Code Set","jp3-52","DoD Joint Publication 3-52 (JP3-52) Joint Airspace Control codes"
"Military Operations","Code Set","nga","National Geospatial Agency (NGA) codes"
"NBAC","Core","nc","NIEM Core"
"NBAC","Auxiliary","cui","Controlled Unclassified Information metadata"
"NBAC","Auxiliary","stat","Statistics"
"NBAC","Code Set","bls","US Bureau of Labor Statistics (BLS) codes"
"NBAC","Code Set","can","Canada Post codes"
"NBAC","Code Set","commodity","Standard Classification of Transported Goods (SCTG) Commodity Codes"
"NBAC","Code Set","dea","Drug Enforcement Administration (DEA) Controlled Substances codes"
"NBAC","Code Set","fips","Federal Information Processing System (FIPS) state and county codes"
"NBAC","Code Set","genc","Geopolitical Entities, Names, and Codes (GENC) codes"
"NBAC","Code Set","hazmat","DOT Hazardous Materials (HAZMAT) codes"
"NBAC","Code Set","hl7","Health Level Seven (HL-7) religion codes"
"NBAC","Code Set","iso_3166","ISO 3166 country and subdivision codes"
"NBAC","Code Set","iso_4217","ISO 4217 currency codes"
"NBAC","Code Set","iso_639-3","ISO 639-3 language codes"
"NBAC","Code Set","iso_639-5","ISO 639-5 language family codes"
"NBAC","Code Set","nces","National Center for Education Statistics (NCES) codes"
"NBAC","Code Set","occs","OMNI Class Building Codes"
"NBAC","Code Set","opm","US Office of Personnel Management (OPM) codes"
"NBAC","Code Set","unece","United Nations Economic Commission for Europe (UNECE) Recommendation 20 (UN/CEFACT) measure codes"
"NBAC","Code Set","usps","U.S. Postal Service (USPS) codes"
"NBAC","Code Set","xCard","vCard XML representation codes"
"NTAC","Adapter","niem-gml","Geospatial"
"NTAC","Adapter","niem-xs","NIEM proxy types for XML Schema simple types"
"NTAC","Utility","appinfo","appinfo"
"NTAC","Utility","cli","NIEM Code Lists Specification instance codes"
"NTAC","Utility","clsa","NIEM Code Lists Specification appinfo codes"
"NTAC","Utility","structures","NIEM structures"
"Screening","Domain","scr","Screening"
"Surface Transportation","Domain","st","Surface Transportation"
